path,subsystem,authority_level,runtime_role,test_coverage,release_visibility,known_risk,owner
Kalsmritikosh/App/AppState.swift,App,"composition root","runtime",unwired (no test target),"dev/internal (gated)","MED: high-conflict god-object; model names live here",owner
Kalsmritikosh/App/DataHealthCheck.swift,App,"composition root","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/App/FeatureFlags.swift,App,"composition root","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/App/KnowledgeInventory.swift,App,"composition root","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/App/LiveMetrics.swift,App,"composition root","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/App/PipelineMetrics.swift,App,"composition root","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/App/ReleaseCapabilityProfile.swift,App,"composition root","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/App/SmokeTest.swift,App,"composition root","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Brain/AnswerSynthesizer.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","MED: Subjects-in-scope debug leak into answer body",owner
Kalsmritikosh/Brain/AnswerUpdate.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/BGETokenizer.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/ConfidenceEngine.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/CoreMLCrossEncoderTier.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/DeterministicEvidenceFallback.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/EmbeddingReranker.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Brain/EvidenceRanker.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/EvidenceVerifier.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"dev/internal (gated)","",owner
Kalsmritikosh/Brain/ExpertCouncil.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/Investigation.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/InvestigationPlanner.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/InvestigationReportBuilder.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/InvestigationRunner.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/LLMQueryClass.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
Kalsmritikosh/Brain/LLMQueryClassifier.swift,Brain,"projection (read-only over ledger)","runtime",unwired (no test target),"release","",owner
