MethodID,MethodName,PersonaPrimary,Inputs,NodeSchema,AllowedEvidenceStates,RequiredReview,CompletionCriteria,WorkProduct,ProhibitedConclusions,Status
MET-01,Brainstorming,Investigator,"Case context; open question","Item{text; type in [idea|question|assumption|hypothesis|lead|known Claim|evidence need|possible cause]}","proposal (all); known Claim references canonical","Optional per item; promotion requires review","At least one typed item; proposals not upgraded","Brainstorm export","Any item treated as fact without promotion","Absent"
MET-02,5W1H,Investigator,"Sources; Claims","Cell{slot in [who|what|when|where|why|how]; value; evidence; status}","source-stated; inferred; unsupported; human-confirmed","Confirm each answered slot","Each slot answered-with-evidence or marked unknown","5W1H Worksheet","Fabricated answer for an unknown slot","Absent"
MET-03,Hypothesis Matrix,Investigator,"Hypotheses; evidence","Row{hypothesis}; Col{evidence}; Cell{for|against|neutral}","source-stated; inferred; disputed; unsupported","Confirm/reject each hypothesis","Every hypothesis has an evidence profile","Hypothesis Matrix","App selects the true hypothesis autonomously","Absent"
MET-04,Evidence Collection Plan,Investigator,"Hypotheses; gaps","Request{need; linked hypothesis; status}","gap; proposal","Confirm requests","Each open need has a request","Evidence Collection Plan","Asserting the requested evidence exists","Absent"
MET-05,Five Whys,Investigator,"Problem statement; evidence","Why{text; status; supporting; opposing; assumptions; review}","source-stated; rule-supported; inferred; disputed; unsupported; human-confirmed; human-rejected","Confirm each Why level","Stops when evidence no longer supports a deeper level","Five-Whys Analysis","Forcing five levels without supporting evidence","Absent"
MET-06,Fishbone/Ishikawa,Investigator,"Problem; evidence","Bone{branch; candidate cause; evidence}","source-stated; inferred; unsupported","Confirm branch relevance","At least one branch populated with candidate causes","Fishbone Analysis","Declaring any bone the confirmed root cause","Absent"
MET-07,Root-Cause Assessment,Investigator,"Candidate causes; evidence","Candidate{cause; evidence profile; decision}","source-stated; inferred; disputed; human-confirmed","Human root-cause decision required","A recorded human decision selects/records the root cause","Root-Cause Assessment","App confirms the root cause itself","Absent"
MET-08,CAPA,Investigator,"Confirmed/candidate cause","Action{action; type corrective|preventive; linked cause; owner; priority; due; status; implementation evidence; effectiveness measure; effectiveness date; reviewer; closure decision}","proposal; human-confirmed","Confirm owner/due/action; human closure","Each action links a cause; closure is a human decision","CAPA Register","Auto-closing a CAPA or declaring it effective","Absent"
MET-09,Effectiveness Review,Investigator,"CAPA actions; new evidence","Check{action; measure; result; evidence; decision}","source-stated; inferred; human-confirmed","Confirm effectiveness","Each closed action has an evidence-backed check","Effectiveness Review","Declaring effectiveness without evidence","Absent"
MET-10,Contradiction Matrix,"Investigator; Lawyer; Journalist","Claims; contradictions","Cell{claimA; claimB; both sides; status}","source-stated; disputed; contradicted","Confirm/dismiss each conflict","Every in-scope contradiction shown with both sides","Contradiction Schedule","Averaging or picking a winner between accounts","Absent"
MET-11,Gap Analysis,"Investigator; Journalist; Researcher","Claims; gaps","Gap{description; reason; related claims}","gap; missing-evidence","Confirm/dismiss gaps","Every in-scope gap categorized (searched scope stated)","Missing-Evidence Register","Implying wrongdoing from absence of evidence","Absent"
MET-12,Timeline Analysis,"All","Events; dates","Row{event; lineage date; precision; status; evidence}","source-stated; inferred; unsupported","Confirm inclusion","Undated rows labelled; each material row cited","Chronology","Inventing or padding a date/precision","Partial"
MET-13,Relationship Analysis,"Investigator; Researcher; Lawyer","Entities; relationships; events","Edge{from; to; kind; evidence}","source-stated; inferred; unsupported","Confirm edges","Each asserted edge cites evidence","Relationship Report","Asserting a relationship without evidence","Absent"
MET-14,Transaction Flow,"Investigator; Lawyer","Transactions; amounts; structured tables","Node{party}; Edge{amount; date; evidence}","source-stated; deterministically-derived","Confirm flow","Amounts trace to source cells","Transaction/Asset Flow","Concluding fraud/misconduct from the flow","Absent"
MET-15,Risk Matrix,"Investigator; Individual","Items; likelihood; impact","Cell{item; likelihood; impact; evidence}","source-stated; inferred","Confirm ratings","Each rated item cites its basis","Risk Matrix","Presenting a rating as a certain outcome","Absent"
MET-16,Decision Matrix,"All","Options; criteria; weights","Cell{option; criterion; score; evidence}","source-stated; inferred; human-confirmed","Human decision recorded","Scores cite basis; final choice is a human decision","Decision Matrix","App making the final decision autonomously","Absent"
