Persona,JobID,JobName,Workflow,RequiredInputs,CanonicalObjects,PersonaObjects,Methods,Screens,WorkProducts,Automations,HumanDecisions,ProhibitedOutcomes,Validation,GoldCase,Status
Investigator,INV-01,Case intake & scope,"Create case; define mandate; set scope/date bounds","Mandate text; scope; sources; date range","Workspace; sources; source versions","InvestigationCase","intake; scope","Case Home; Intake and Scope","Investigation Plan","Suggest scope gaps","Confirm scope","Decide case merits","Scope persists; sources bound","process deviation case","Absent"
Investigator,INV-02,Subject workup,"Assemble everything known about a subject","Subject identity; sources","Entities; events; Claims; evidence","InvestigationSubject","select evidence; review","Subject Dossier","Subject Dossier","Suggest related mentions","Confirm subject identity","Assert guilt","Dossier cites exact evidence","identity ambiguity case","Absent"
Investigator,INV-03,Identity resolution,"Resolve aliases/identifiers to one canonical subject","Candidate identifiers; mentions","Entities; aliases; mentions","Identifier; IdentityResolutionDecision","review evidence; decision","Identity Resolution","Identity Resolution Decision log","Propose merges","Confirm/reject merge","Auto-merge without review","Merge reversible; decision recorded","identity ambiguity case","Absent"
Investigator,INV-04,Brainstorm board,"Capture ideas/hypotheses/leads as typed proposals","Case context","Claims (known only)","Lead; Hypothesis","brainstorm","Brainstorm Board","Brainstorm export","Suggest questions","Promote proposal to hypothesis","Treat idea as fact","Items typed; only known-Claim canonical","conflicting accounts case","Absent"
Investigator,INV-05,5W1H worksheet,"Answer who/what/when/where/why/how from evidence","Sources; Claims","Claims; events; entities","(workflow state)","5W1H; select evidence","5W1H","5W1H Worksheet","Prefill from Claims","Confirm each cell","Fabricate unknown W","Each cell cites or marked unknown","process deviation case","Absent"
Investigator,INV-06,Evidence collection plan,"Plan what evidence to gather for each hypothesis","Hypotheses; gaps","Gaps; Claims","EvidenceRequest","gap analysis; form","Evidence Collection Plan","Evidence Collection Plan","Propose missing-evidence requests","Confirm requests","Assert evidence exists","Requests link hypotheses","payment discrepancy case","Absent"
Investigator,INV-07,Hypothesis matrix,"Score hypotheses against evidence for/against","Hypotheses; evidence","Claims; contradictions","Hypothesis; HypothesisEvidenceLink","hypothesis matrix; review","Hypothesis Matrix","Hypothesis Matrix","Compute evidence profile","Confirm/reject hypothesis","Pick winner autonomously","Unsupported stays proposal","conflicting accounts case","Absent"
Investigator,INV-08,Source reliability,"Assess reliability of each source/custodian","Sources; custody","Sources; source versions; custody","SourceReliabilityAssessment (shared OPS-006)","review evidence; matrix","Source Reliability","Source Reliability Schedule","Flag single-source items","Confirm reliability rating","Auto-rate as fact","Rating recorded; independence noted","conflicting accounts case","Absent"
Investigator,INV-09,Investigation timeline,"Build cited chronology of events","Events; dates","Events; Claims; evidence","(workflow state)","timeline analysis","Investigation Timeline","Chronology","Order by lineage date","Confirm inclusion","Invent dates","Undated labelled; each row cited","project delay case","Partial"
Investigator,INV-10,Relationship graph,"Map evidence-backed relationships","Entities; relationships","Entities; relationships; events","(workflow state)","relationship analysis; graph","Relationship Graph","Relationship Report","Propose edges from co-evidence","Confirm edges","Assert relationship w/o evidence","Edges cite evidence","conflicting accounts case","Absent"
Investigator,INV-11,Transaction & asset flow,"Trace transactions/assets across sources","Transactions; amounts","Events; Claims; structured tables","(workflow state)","transaction flow; calculation","Transaction and Asset Flow","Transaction/Asset Flow","Sum/trace flows","Confirm flow","Conclude fraud","Amounts cite source cells","payment discrepancy case","Absent"
Investigator,INV-12,Contradiction & gap desk,"Review contradictions and missing evidence in scope","Claims; contradictions; gaps","Contradictions; gaps; Claims","(workflow state)","contradiction matrix; gap analysis","Contradiction and Gap Desk","Contradiction Schedule; Missing-Evidence Register","Detect contradictions/gaps","Confirm/dismiss","Average conflicting accounts","Both sides preserved; absence not proof","conflicting accounts case","Partial"
Investigator,INV-13,Five Whys,"Trace causal chain with evidence at each level","Problem statement; evidence","Claims; events; evidence","(workflow state)","five whys; review","Five Whys","Five-Whys Analysis","Prefill supported levels","Confirm each Why","Force five levels w/o evidence","Stops early when unsupported","process deviation case","Absent"
Investigator,INV-14,Fishbone,"Categorize candidate causes by branch","Problem; evidence","Claims; events","(workflow state)","fishbone; brainstorm","Fishbone","Fishbone Analysis","Suggest bones from evidence","Confirm relevance","Call a bone the root cause","Bones are candidate causes","process deviation case","Absent"
Investigator,INV-15,Root-cause assessment,"Weigh candidate causes; record human determination","Candidate causes; evidence","Claims; events; contradictions","RootCauseCandidate","root-cause assessment; human approval","Root-Cause Assessment","Root-Cause Assessment","Compute evidence profile","Human root-cause decision","App confirms root cause","Confirmation requires human decision","process deviation case","Absent"
Investigator,INV-16,CAPA register,"Record corrective/preventive actions linked to causes","Confirmed/candidate causes","Claims; events","CAPAAction","capa; form","CAPA Register","CAPA Register","Draft candidate actions","Confirm owner/due/action","Close CAPA autonomously","Each action links a cause","process deviation case","Absent"
Investigator,INV-17,Effectiveness review,"Verify CAPA effectiveness with evidence","CAPA actions; new evidence","Claims; events; evidence","EffectivenessCheck","effectiveness review","Effectiveness Review","Effectiveness Review","Flag due checks","Confirm effectiveness","Declare effective w/o evidence","Effectiveness cites evidence","process deviation case","Absent"
Investigator,INV-18,Chain of custody,"Maintain custody chain for exhibits","Sources; custody events","Sources; source versions; custody","(workflow state)","review; form","Evidence Vault and Custody","Evidence/Custody Manifest","Record custody events","Confirm custody entries","Break custody silently","Custody hash per version","payment discrepancy case","Partial"
Investigator,INV-19,Investigation findings,"Produce cited findings report","Selected Claims; scope","Claims; contradictions; gaps","(workflow state)","work-product build","Closure and Export","Investigation Findings","Assemble cited findings","Approve report","Assert unproven findings","Report==receipt; material cites reopen","process deviation case","Partial"
Investigator,INV-20,Closure & export,"Close case; export report + receipt","Findings; approvals","Claims; work product run","ClosureDecision","closure; work-product build","Closure and Export","Closure Report; sealed receipt","Prepare closure package","Human closure decision","Close w/o human decision","Sealed receipt verifies","process deviation case","Absent"
Researcher,RES-01,Research protocol,"Define question; scope; method plan","Question; corpus; scope","Workspace; sources","(workflow state)","intake; scope","Protocol screen","Research Protocol","Suggest scope","Confirm protocol","Decide findings","Protocol persists","(gold case TBD)","Absent"
Researcher,RES-02,Corpus catalogue,"Catalogue every source with provenance","Sources","Sources; source versions","(workflow state)","form; table","Corpus Catalogue","Corpus Catalogue","Auto-list sources","Confirm inclusion","Assert authenticity","Every source has provenance","(gold case TBD)","Absent"
Researcher,RES-03,Metadata & finding aid,"Record structured metadata per source","Sources","Sources; entities","(workflow state)","form","Metadata screen","Metadata export","Prefill metadata","Confirm metadata","Invent metadata","Metadata cites source","(gold case TBD)","Absent"
Researcher,RES-04,Transcription & coding,"Transcribe/correct source text with locators","Audio/image sources","EvidenceBlocks; locators; transcript segments","(workflow state)","transcription; review","Transcription screen","Corrected transcript","Propose transcription","Confirm corrections","Assert unheard words","Segments carry timecodes/locators","(gold case TBD)","Absent"
Researcher,RES-05,Authority control,"Unify names/terms to canonical authorities","Entities; aliases","Entities; aliases","(workflow state)","review; decision","Authority Control","Authority file","Propose unifications","Confirm authority","Auto-unify w/o review","Reversible; recorded","(gold case TBD)","Absent"
Researcher,RES-06,Source criticism,"Assess origin/bias/reliability of sources","Sources","Sources; assessments","SourceReliabilityAssessment (shared OPS-006)","source criticism; review","Source Criticism","Source Criticism notes","Flag single/derivative sources","Confirm assessment","Declare truth from one source","Independence recorded","(gold case TBD)","Absent"
Researcher,RES-07,Screening (include / exclude),"Screen documents in/out by criteria","Corpus; criteria","Sources; Claims","(workflow state)","form; table","Screening screen","Screening log","Propose in/out","Confirm screening","Auto-exclude silently","Decisions recorded; reversible","(gold case TBD)","Absent"
Researcher,RES-08,Extraction & coding,"Code passages into structured findings","Sources; codebook","EvidenceBlocks; Claims","(workflow state)","form; matrix","Coding screen","Coded dataset","Suggest codes","Confirm codes","Fabricate coded content","Each code cites a block","(gold case TBD)","Absent"
Researcher,RES-09,Chronology & periodisation,"Build periodised timeline","Events; dates","Events; HistoryItems; Claims","(workflow state)","timeline analysis","Chronology screen","Chronology","Order by lineage date","Confirm periods","Invent dates/periods","Undated labelled; cited","(gold case TBD)","Partial"
Researcher,RES-10,Prosopography,"Compile collective biography of a group","Entities; events","Entities; events; Claims","(workflow state)","relationship analysis; table","Prosopography screen","Prosopography table","Aggregate per person","Confirm entries","Assert unknown biography","Each cell cites evidence","(gold case TBD)","Absent"
Researcher,RES-11,Interpretation comparison,"Compare competing interpretations with evidence","Claims; interpretations","Claims; contradictions","(historical interpretation refs)","contradiction matrix; review","Interpretation screen","Interpretation comparison","Surface both sides","Confirm interpretation","Pick a winner","Both accounts preserved","(gold case TBD)","Absent"
Researcher,RES-12,Alternative histories,"Explore evidence-bounded counterfactuals","Events; causal links","Events; causal links (scenario)","(scenario overlay)","timeline analysis; scenario","Alternative Histories","Alternative-history note","Compose scenario overlay","Confirm scenario scope","Present scenario as fact","Scenario never mutates ledger","(gold case TBD)","Absent"
Researcher,RES-13,Bibliography & citation audit,"Verify citations resolve to sources","Citations; sources","Sources; source versions","(workflow state)","review; form","Bibliography screen","Bibliography; citation audit","Check citation resolution","Confirm citations","Assert unresolved cite","Every cite reopens source","(gold case TBD)","Absent"
Researcher,RES-14,Annotated edition,"Assemble annotated edition/export","Selected sources; notes","Sources; Claims; work product run","(workflow state)","work-product build","Edition screen","Annotated edition; receipt","Assemble edition","Approve edition","Alter source text silently","Report==receipt; cites reopen","(gold case TBD)","Absent"
Journalist,JRN-01,Story intake,"Frame story; scope; sources","Story premise; scope; sources","Workspace; sources","(workflow state)","intake; scope","Story Intake","Story brief","Suggest scope","Confirm premise","Decide truth of story","Scope persists","(gold case TBD)","Absent"
Journalist,JRN-02,Fact-check board,"Track each story claim + support","Claims; sources","Claims; evidence","(story claim refs)","matrix; review","Claim Board","Claim board export","Prefill from Claims","Confirm claim status","Publish unverified claim","Each claim cites evidence","(gold case TBD)","Absent"
Journalist,JRN-03,Source map,"Map sources and what each supports","Sources; Claims","Sources; entities; Claims","(workflow state)","graph; relationship analysis","Source Map","Source map","Propose links","Confirm links","Expose confidential source","Links cite evidence","(gold case TBD)","Absent"
Journalist,JRN-04,Source reliability,"Rate source reliability/independence","Sources","Sources; assessments","SourceReliabilityAssessment (shared OPS-006)","source criticism; review","Source Reliability","Source reliability schedule","Flag single-source claims","Confirm rating","Auto-rate as fact","Independence recorded","(gold case TBD)","Absent"
Journalist,JRN-05,Interview plan,"Plan interviews/questions from gaps","Gaps; Claims","Gaps; Claims","EvidenceRequest","gap analysis; form","Interview Plan","Interview plan","Propose questions","Confirm questions","Assert answers","Questions link gaps","(gold case TBD)","Absent"
Journalist,JRN-06,Quote book,"Collect quotations with exact locators","Sources; transcripts","EvidenceBlocks; locators; Claims","(quote refs)","select evidence; review","Quote Book","Quote book","Extract candidate quotes","Confirm quote/context","Alter a quote","Each quote cites exact locator","(gold case TBD)","Absent"
Journalist,JRN-07,Transcript correction,"Correct transcripts preserving provenance","Audio/transcripts","Transcript segments; locators","(workflow state)","transcription; review","Transcript screen","Corrected transcript","Propose corrections","Confirm corrections","Invent speech","Timecodes preserved","(gold case TBD)","Absent"
Journalist,JRN-08,Tick-tock (timeline),"Build cited story timeline","Events; dates","Events; Claims","(workflow state)","timeline analysis","Chronology","Chronology","Order by lineage date","Confirm inclusion","Invent dates","Undated labelled; cited","(gold case TBD)","Partial"
Journalist,JRN-09,Fact verification,"Verify each claim against evidence","Claims; evidence","Claims; contradictions; gaps","(workflow state)","review; contradiction matrix","Fact Verification","Verification log","Run Claim verifier","Confirm verification","Mark verified w/o evidence","Verified claims cite reopenable evidence","(gold case TBD)","Absent"
Journalist,JRN-10,Open questions,"Track what is not yet known","Gaps","Gaps; Claims","(workflow state)","gap analysis","Gap Register","Reporting-gap register","Detect gaps","Confirm gaps","Imply wrongdoing from absence","Absence not proof","(gold case TBD)","Partial"
